"Name","ID","DisplayName","Group","Enabled","Profile","Platform","Direction","Action","EdgeTraversalPolicy","LSM","PrimaryStatus","Status","EnforcementStatus","PolicyStoreSourceType","Caption","Description","ElementName","InstanceID","CommonName","PolicyKeywords","PolicyDecisionStrategy","PolicyRoles","ConditionListType","CreationClassName","ExecutionStrategy","Mandatory","PolicyRuleName","Priority","RuleUsage","SequencedActions","SystemCreationClassName","SystemName","DisplayGroup","LocalOnlyMapping","LooseSourceMapping","Owner","Platforms","PolicyStoreSource","Profiles","RuleGroup","StatusCode","PSComputerName"
"WirelessDisplay-Out-TCP","WirelessDisplay-Out-TCP","Wireless Display (TCP-Out)","@wifidisplay.dll,-100","True","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for Wireless Display [TCP]","@wifidisplay.dll,-10202","WirelessDisplay-Out-TCP",,,"2",,"3","MSFT|FW|FirewallRule|WirelessDisplay-Out-TCP","2",,"",,,"3","","","Wireless Display","False","False",,"System.String[]","PersistentStore","0","@wifidisplay.dll,-100","65536",
"WirelessDisplay-Out-UDP","WirelessDisplay-Out-UDP","Wireless Display (UDP-Out)","@wifidisplay.dll,-100","True","Any","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule for Wireless Display [UDP]","@wifidisplay.dll,-10204","WirelessDisplay-Out-UDP",,,"2",,"3","MSFT|FW|FirewallRule|WirelessDisplay-Out-UDP","2",,"",,,"3","","","Wireless Display","False","False",,"System.String[]","PersistentStore","0","@wifidisplay.dll,-100","65536",
"WirelessDisplay-Infra-In-TCP","WirelessDisplay-Infra-In-TCP","Wireless Display Infrastructure Back Channel (TCP-In)","@wifidisplay.dll,-100","True","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for Wireless Display Infrastructure back channel [TCP]","@wifidisplay.dll,-10206","WirelessDisplay-Infra-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|WirelessDisplay-Infra-In-TCP","2",,"",,,"3","","","Wireless Display","False","False",,"System.String[]","PersistentStore","0","@wifidisplay.dll,-100","65536",
"WMI-RPCSS-In-TCP-NoScope","WMI-RPCSS-In-TCP-NoScope","Windows Management Instrumentation (DCOM-In)","@FirewallAPI.dll,-34251","False","Domain","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule to allow DCOM traffic for remote Windows Management Instrumentation. [TCP 135]","@FirewallAPI.dll,-34252","WMI-RPCSS-In-TCP-NoScope",,,"2",,"3","MSFT|FW|FirewallRule|WMI-RPCSS-In-TCP-NoScope","2",,"",,,"3","","","Windows Management Instrumentation (WMI)","False","False",,"System.String[]","PersistentStore","1","@FirewallAPI.dll,-34251","65536",
"WMI-WINMGMT-In-TCP-NoScope","WMI-WINMGMT-In-TCP-NoScope","Windows Management Instrumentation (WMI-In)","@FirewallAPI.dll,-34251","False","Domain","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule to allow WMI traffic for remote Windows Management Instrumentation. [TCP]","@FirewallAPI.dll,-34254","WMI-WINMGMT-In-TCP-NoScope",,,"2",,"3","MSFT|FW|FirewallRule|WMI-WINMGMT-In-TCP-NoScope","2",,"",,,"3","","","Windows Management Instrumentation (WMI)","False","False",,"System.String[]","PersistentStore","1","@FirewallAPI.dll,-34251","65536",
"WMI-WINMGMT-Out-TCP-NoScope","WMI-WINMGMT-Out-TCP-NoScope","Windows Management Instrumentation (WMI-Out)","@FirewallAPI.dll,-34251","False","Domain","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule to allow WMI traffic for remote Windows Management Instrumentation. [TCP]","@FirewallAPI.dll,-34258","WMI-WINMGMT-Out-TCP-NoScope",,,"2",,"3","MSFT|FW|FirewallRule|WMI-WINMGMT-Out-TCP-NoScope","2",,"",,,"3","","","Windows Management Instrumentation (WMI)","False","False",,"System.String[]","PersistentStore","1","@FirewallAPI.dll,-34251","65536",
"WMI-ASYNC-In-TCP-NoScope","WMI-ASYNC-In-TCP-NoScope","Windows Management Instrumentation (ASync-In)","@FirewallAPI.dll,-34251","False","Domain","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule to allow Asynchronous WMI traffic for remote Windows Management Instrumentation. [TCP]","@FirewallAPI.dll,-34256","WMI-ASYNC-In-TCP-NoScope",,,"2",,"3","MSFT|FW|FirewallRule|WMI-ASYNC-In-TCP-NoScope","2",,"",,,"3","","","Windows Management Instrumentation (WMI)","False","False",,"System.String[]","PersistentStore","1","@FirewallAPI.dll,-34251","65536",
"WMI-RPCSS-In-TCP","WMI-RPCSS-In-TCP","Windows Management Instrumentation (DCOM-In)","@FirewallAPI.dll,-34251","False","Private, Public","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule to allow DCOM traffic for remote Windows Management Instrumentation. [TCP 135]","@FirewallAPI.dll,-34252","WMI-RPCSS-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|WMI-RPCSS-In-TCP","2",,"",,,"3","","","Windows Management Instrumentation (WMI)","False","False",,"System.String[]","PersistentStore","6","@FirewallAPI.dll,-34251","65536",
"WMI-WINMGMT-In-TCP","WMI-WINMGMT-In-TCP","Windows Management Instrumentation (WMI-In)","@FirewallAPI.dll,-34251","False","Private, Public","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule to allow WMI traffic for remote Windows Management Instrumentation. [TCP]","@FirewallAPI.dll,-34254","WMI-WINMGMT-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|WMI-WINMGMT-In-TCP","2",,"",,,"3","","","Windows Management Instrumentation (WMI)","False","False",,"System.String[]","PersistentStore","6","@FirewallAPI.dll,-34251","65536",
"WMI-WINMGMT-Out-TCP","WMI-WINMGMT-Out-TCP","Windows Management Instrumentation (WMI-Out)","@FirewallAPI.dll,-34251","False","Private, Public","System.String[]","Outbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Outbound rule to allow WMI traffic for remote Windows Management Instrumentation. [TCP]","@FirewallAPI.dll,-34258","WMI-WINMGMT-Out-TCP",,,"2",,"3","MSFT|FW|FirewallRule|WMI-WINMGMT-Out-TCP","2",,"",,,"3","","","Windows Management Instrumentation (WMI)","False","False",,"System.String[]","PersistentStore","6","@FirewallAPI.dll,-34251","65536",
"WMI-ASYNC-In-TCP","WMI-ASYNC-In-TCP","Windows Management Instrumentation (ASync-In)","@FirewallAPI.dll,-34251","False","Private, Public","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule to allow Asynchronous WMI traffic for remote Windows Management Instrumentation. [TCP]","@FirewallAPI.dll,-34256","WMI-ASYNC-In-TCP",,,"2",,"3","MSFT|FW|FirewallRule|WMI-ASYNC-In-TCP","2",,"",,,"3","","","Windows Management Instrumentation (WMI)","False","False",,"System.String[]","PersistentStore","6","@FirewallAPI.dll,-34251","65536",
"Wininit-Shutdown-In-Rule-TCP-RPC","Wininit-Shutdown-In-Rule-TCP-RPC","Inbound Rule for Remote Shutdown (TCP-In)","@firewallapi.dll,-36751","False","Any","System.String[]","Inbound","Allow","Block","False","OK","The rule was parsed successfully from the store. (65536)","NotApplicable","Local",,"Inbound rule for the Remote Shutdown via dynamic RPC/TCP.","@firewallapi.dll,-36753","Wininit-Shutdown-In-Rule-TCP-RPC",,,"2",,"3","MSFT|FW|FirewallRule|Wininit-Shutdown-In-Rule-TCP-RPC","2",,"",,,"3","","","Remote Shutdown","False","False",,"System.String[]","PersistentStore","0","@firewallapi.dll,-36751","65536",
